year,category,variable,units,magnitude,source,data_value,flag
2007,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,42.1,R
2007,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,24.5,R
2007,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,41.6,R
2007,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2007,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,715722,F
2007,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,615354,R
2007,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,15726,R
2008,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,39.4,R
2008,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,13.5,R
2008,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,38.4,R
2008,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.3,F
2008,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,564630,F
2008,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,591765,R
2008,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,14655,R
2009,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,39.8,R
2009,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,16.2,R
2009,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,38.9,R
2009,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2009,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,688792,R
2009,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,637548,R
2009,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,14574,R
2010,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,40.8,R
2010,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,17,R
2010,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,38.6,R
2010,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2010,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,762224,R
2010,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,623250,R
2010,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,13803,R
2011,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,39.9,R
2011,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,18.5,R
2011,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,38.6,F
2011,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2011,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,851073,R
2011,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,650658,R
2011,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,13443,R
2012,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,41.6,R
2012,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,19,R
2012,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,40.3,R
2012,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2012,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,839194,R
2012,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,703318,R
2012,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,14106,R
2013,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,41.7,R
2013,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,19.8,R
2013,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,39.8,R
2013,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2013,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,854833,R
2013,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,692340,R
2013,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,13764,R
2014,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,41.1,R
2014,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,20.4,R
2014,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,39.9,R
2014,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2014,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,836932,R
2014,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,691232,R
2014,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,14397,R
2015,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,40.3,R
2015,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,22,R
2015,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,34.3,R
2015,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2015,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,931997,R
2015,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,670046,R
2015,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,14148,R
2016,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,40.8,R
2016,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,29.5,R
2016,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,33.6,R
2016,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.5,F
2016,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,1155732,R
2016,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,671836,R
2016,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,14598,R
2017,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,41.6,R
2017,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,27.6,R
2017,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,35.3,R
2017,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2017,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,1072676,R
2017,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,714691,R
2017,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,15831,R
2018,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,41.8,R
2018,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,27.5,R
2018,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,35.9,R
2018,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,F
2018,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,1162212,R
2018,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,763767,R
2018,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,16230,R
2019,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,41.4,P
2019,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,27.4,P
2019,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,35,P
2019,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,P
2019,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,1196428,P
2019,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,784948,P
2019,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,16494,P
2020,Fisheries and aquaculture,Cont. to ME Wage and salary earners,Proportion,Actual,LEED,42.8,P
2020,Fisheries and aquaculture,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,27.6,P
2020,Fisheries and aquaculture,Contribution to marine economy earnings,Proportion,Actual,LEED,36.1,P
2020,Fisheries and aquaculture,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0.4,P
2020,Fisheries and aquaculture,GDP,Dollars,Thousands,Environmental Accounts,1254840,P
2020,Fisheries and aquaculture,Gross earnings,Dollars,Thousands,LEED,836981,P
2020,Fisheries and aquaculture,Wage and salary earners,Number,Actual,LEED,17349,P
2009,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2009,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2009,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,3297,F
2010,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2010,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2010,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,2481,F
2011,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2011,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2011,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,3195,F
2012,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2012,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2012,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,5581,F
2013,Government and defence,Contribution to marine economy GDP,Proportion,Actual,Environmental Accounts,0.1,F
2013,Government and defence,Contribution to total GDP,Proportion,Actual,Environmental Accounts,0,F
2013,Government and defence,GDP,Dollars,Thousands,Environmental Accounts,5408,F
